"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"carros.nlogo"
"densidad_flujo"
"10/26/2024 14:51:22:496 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-3","3"
"[run number]","velocidad-inicial","numero_de_carros","aceleracion","posicion-inicial","desaceleracion","[step]","metrica_flujo"
"6","aleatoria","1","0.0045","aleatoria","0.026","0","0"
"3","aleatoria","1","0.0045","aleatoria","0.026","0","0"
"6","aleatoria","1","0.0045","aleatoria","0.026","50","0"
"3","aleatoria","1","0.0045","aleatoria","0.026","50","0"
"6","aleatoria","1","0.0045","aleatoria","0.026","100","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","100","0"
"1","aleatoria","1","0.0045","aleatoria","0.026","0","0"
"6","aleatoria","1","0.0045","aleatoria","0.026","150","0.5"
"2","aleatoria","1","0.0045","aleatoria","0.026","0","0"
"5","aleatoria","1","0.0045","aleatoria","0.026","0","0"
"3","aleatoria","1","0.0045","aleatoria","0.026","150","0.5"
"4","aleatoria","1","0.0045","aleatoria","0.026","0","0"
"1","aleatoria","1","0.0045","aleatoria","0.026","50","0"
"6","aleatoria","1","0.0045","aleatoria","0.026","200","0.6666666666666666"
"3","aleatoria","1","0.0045","aleatoria","0.026","200","0.6666666666666666"
"5","aleatoria","1","0.0045","aleatoria","0.026","50","0"
"1","aleatoria","1","0.0045","aleatoria","0.026","100","0"
"4","aleatoria","1","0.0045","aleatoria","0.026","50","0"
"6","aleatoria","1","0.0045","aleatoria","0.026","250","0.75"
"2","aleatoria","1","0.0045","aleatoria","0.026","50","0"
"3","aleatoria","1","0.0045","aleatoria","0.026","250","0.75"
"6","aleatoria","1","0.0045","aleatoria","0.026","300","0.8"
"1","aleatoria","1","0.0045","aleatoria","0.026","150","0.5"
"5","aleatoria","1","0.0045","aleatoria","0.026","100","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","300","0.8"
"4","aleatoria","1","0.0045","aleatoria","0.026","100","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","350","0.8333333333333334"
"1","aleatoria","1","0.0045","aleatoria","0.026","200","0.3333333333333333"
"2","aleatoria","1","0.0045","aleatoria","0.026","100","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","350","0.8333333333333334"
"5","aleatoria","1","0.0045","aleatoria","0.026","150","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","400","0.8571428571428571"
"1","aleatoria","1","0.0045","aleatoria","0.026","250","0.5"
"4","aleatoria","1","0.0045","aleatoria","0.026","150","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","400","0.8571428571428571"
"6","aleatoria","1","0.0045","aleatoria","0.026","450","0.875"
"3","aleatoria","1","0.0045","aleatoria","0.026","450","0.875"
"1","aleatoria","1","0.0045","aleatoria","0.026","300","0.6"
"6","aleatoria","1","0.0045","aleatoria","0.026","500","0.8888888888888888"
"4","aleatoria","1","0.0045","aleatoria","0.026","200","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","200","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","500","0.8888888888888888"
"6","aleatoria","1","0.0045","aleatoria","0.026","550","0.9"
"5","aleatoria","1","0.0045","aleatoria","0.026","250","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","550","0.9"
"6","aleatoria","1","0.0045","aleatoria","0.026","600","0.9090909090909091"
"5","aleatoria","1","0.0045","aleatoria","0.026","300","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","350","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","650","0.9166666666666666"
"3","aleatoria","1","0.0045","aleatoria","0.026","600","0.9090909090909091"
"4","aleatoria","1","0.0045","aleatoria","0.026","250","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","700","0.9230769230769231"
"3","aleatoria","1","0.0045","aleatoria","0.026","650","0.9166666666666666"
"4","aleatoria","1","0.0045","aleatoria","0.026","300","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","400","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","750","0.9285714285714286"
"3","aleatoria","1","0.0045","aleatoria","0.026","700","0.9230769230769231"
"5","aleatoria","1","0.0045","aleatoria","0.026","450","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","800","0.9333333333333333"
"3","aleatoria","1","0.0045","aleatoria","0.026","750","0.9285714285714286"
"6","aleatoria","1","0.0045","aleatoria","0.026","850","0.9375"
"5","aleatoria","1","0.0045","aleatoria","0.026","500","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","350","1"
"2","aleatoria","1","0.0045","aleatoria","0.026","150","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","800","0.9333333333333333"
"6","aleatoria","1","0.0045","aleatoria","0.026","900","0.9411764705882353"
"5","aleatoria","1","0.0045","aleatoria","0.026","550","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","400","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","950","0.9444444444444444"
"3","aleatoria","1","0.0045","aleatoria","0.026","850","0.9375"
"5","aleatoria","1","0.0045","aleatoria","0.026","600","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","1000","0.9473684210526315"
"4","aleatoria","1","0.0045","aleatoria","0.026","450","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","900","0.9411764705882353"
"2","aleatoria","1","0.0045","aleatoria","0.026","200","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","1050","0.95"
"4","aleatoria","1","0.0045","aleatoria","0.026","500","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","950","0.9444444444444444"
"5","aleatoria","1","0.0045","aleatoria","0.026","650","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","1100","0.9523809523809523"
"3","aleatoria","1","0.0045","aleatoria","0.026","1000","0.9473684210526315"
"2","aleatoria","1","0.0045","aleatoria","0.026","250","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","550","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","1150","0.9545454545454546"
"3","aleatoria","1","0.0045","aleatoria","0.026","1050","0.95"
"5","aleatoria","1","0.0045","aleatoria","0.026","700","1"
"2","aleatoria","1","0.0045","aleatoria","0.026","300","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","600","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","1200","0.9565217391304348"
"3","aleatoria","1","0.0045","aleatoria","0.026","1100","0.9523809523809523"
"5","aleatoria","1","0.0045","aleatoria","0.026","750","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","1250","0.9583333333333334"
"3","aleatoria","1","0.0045","aleatoria","0.026","1150","0.9545454545454546"
"4","aleatoria","1","0.0045","aleatoria","0.026","650","1"
"2","aleatoria","1","0.0045","aleatoria","0.026","350","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","800","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","1300","0.96"
"3","aleatoria","1","0.0045","aleatoria","0.026","1200","0.9565217391304348"
"4","aleatoria","1","0.0045","aleatoria","0.026","700","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","850","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","1350","0.9615384615384616"
"3","aleatoria","1","0.0045","aleatoria","0.026","1250","0.9583333333333334"
"2","aleatoria","1","0.0045","aleatoria","0.026","400","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","900","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","750","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","1400","0.9629629629629629"
"3","aleatoria","1","0.0045","aleatoria","0.026","1300","0.96"
"5","aleatoria","1","0.0045","aleatoria","0.026","950","1"
"2","aleatoria","1","0.0045","aleatoria","0.026","450","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","1450","0.9642857142857143"
"3","aleatoria","1","0.0045","aleatoria","0.026","1350","0.9615384615384616"
"4","aleatoria","1","0.0045","aleatoria","0.026","800","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","1400","0.9629629629629629"
"6","aleatoria","1","0.0045","aleatoria","0.026","1500","0.9655172413793104"
"5","aleatoria","1","0.0045","aleatoria","0.026","1000","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","1450","0.9642857142857143"
"6","aleatoria","1","0.0045","aleatoria","0.026","1550","0.9333333333333333"
"4","aleatoria","1","0.0045","aleatoria","0.026","850","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","1500","0.9655172413793104"
"4","aleatoria","1","0.0045","aleatoria","0.026","900","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","1550","0.9666666666666667"
"4","aleatoria","1","0.0045","aleatoria","0.026","950","0.9444444444444444"
"6","aleatoria","1","0.0045","aleatoria","0.026","1600","0.9354838709677419"
"2","aleatoria","1","0.0045","aleatoria","0.026","500","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1000","0.9473684210526315"
"5","aleatoria","1","0.0045","aleatoria","0.026","1050","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","1600","0.967741935483871"
"6","aleatoria","1","0.0045","aleatoria","0.026","1650","0.9375"
"3","aleatoria","1","0.0045","aleatoria","0.026","1650","0.96875"
"6","aleatoria","1","0.0045","aleatoria","0.026","1700","0.9393939393939394"
"4","aleatoria","1","0.0045","aleatoria","0.026","1050","0.95"
"5","aleatoria","1","0.0045","aleatoria","0.026","1100","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","1700","0.9696969696969697"
"2","aleatoria","1","0.0045","aleatoria","0.026","550","1"
"6","aleatoria","1","0.0045","aleatoria","0.026","1750","0.9411764705882353"
"3","aleatoria","1","0.0045","aleatoria","0.026","1750","0.9705882352941176"
"4","aleatoria","1","0.0045","aleatoria","0.026","1100","0.9523809523809523"
"5","aleatoria","1","0.0045","aleatoria","0.026","1150","0.9545454545454546"
"3","aleatoria","1","0.0045","aleatoria","0.026","1800","0.9714285714285714"
"2","aleatoria","1","0.0045","aleatoria","0.026","600","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1150","0.9545454545454546"
"5","aleatoria","1","0.0045","aleatoria","0.026","1200","0.9565217391304348"
"3","aleatoria","1","0.0045","aleatoria","0.026","1850","0.9722222222222222"
"2","aleatoria","1","0.0045","aleatoria","0.026","650","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","1900","0.9459459459459459"
"4","aleatoria","1","0.0045","aleatoria","0.026","1200","0.9565217391304348"
"5","aleatoria","1","0.0045","aleatoria","0.026","1250","0.9583333333333334"
"3","aleatoria","1","0.0045","aleatoria","0.026","1950","0.9473684210526315"
"2","aleatoria","1","0.0045","aleatoria","0.026","700","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","2000","0.9487179487179487"
"4","aleatoria","1","0.0045","aleatoria","0.026","1250","0.9583333333333334"
"5","aleatoria","1","0.0045","aleatoria","0.026","1300","0.96"
"2","aleatoria","1","0.0045","aleatoria","0.026","750","1"
"3","aleatoria","1","0.0045","aleatoria","0.026","2050","0.95"
"1","aleatoria","1","0.0045","aleatoria","0.026","350","0.6666666666666666"
"2","aleatoria","1","0.0045","aleatoria","0.026","800","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","1350","0.9615384615384616"
"4","aleatoria","1","0.0045","aleatoria","0.026","1300","0.96"
"2","aleatoria","1","0.0045","aleatoria","0.026","850","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","1400","0.9629629629629629"
"4","aleatoria","1","0.0045","aleatoria","0.026","1350","0.9615384615384616"
"2","aleatoria","1","0.0045","aleatoria","0.026","900","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","1450","0.9642857142857143"
"4","aleatoria","1","0.0045","aleatoria","0.026","1400","0.9629629629629629"
"2","aleatoria","1","0.0045","aleatoria","0.026","950","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","1500","0.9655172413793104"
"4","aleatoria","1","0.0045","aleatoria","0.026","1450","0.9642857142857143"
"2","aleatoria","1","0.0045","aleatoria","0.026","1000","1"
"5","aleatoria","1","0.0045","aleatoria","0.026","1550","0.9666666666666667"
"4","aleatoria","1","0.0045","aleatoria","0.026","1500","0.9655172413793104"
"2","aleatoria","1","0.0045","aleatoria","0.026","1050","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1550","0.9666666666666667"
"2","aleatoria","1","0.0045","aleatoria","0.026","1100","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1600","0.967741935483871"
"2","aleatoria","1","0.0045","aleatoria","0.026","1150","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1650","0.96875"
"2","aleatoria","1","0.0045","aleatoria","0.026","1200","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1700","0.9696969696969697"
"2","aleatoria","1","0.0045","aleatoria","0.026","1250","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1750","0.9705882352941176"
"2","aleatoria","1","0.0045","aleatoria","0.026","1300","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1800","0.9714285714285714"
"2","aleatoria","1","0.0045","aleatoria","0.026","1350","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1850","0.9722222222222222"
"2","aleatoria","1","0.0045","aleatoria","0.026","1400","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1900","0.972972972972973"
"2","aleatoria","1","0.0045","aleatoria","0.026","1450","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","1950","0.9736842105263158"
"2","aleatoria","1","0.0045","aleatoria","0.026","1500","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2000","0.9743589743589743"
"2","aleatoria","1","0.0045","aleatoria","0.026","1550","1"
"4","aleatoria","1","0.0045","aleatoria","0.026","2050","0.975"
"2","aleatoria","1","0.0045","aleatoria","0.026","1600","1"
